login,name,language,watch_count
FreeCodeCamp,freecodecamp,JavaScript,218166
tensorflow,tensorflow,C++,97842
twbs,bootstrap,CSS,74394
robbyrussell,oh-my-zsh,Shell,72362
facebook,react-native,Java,64194
torvalds,linux,C,55361
vinta,awesome-python,Python,48856
Microsoft,vscode,TypeScript,48445
Atom,atom,CoffeeScript,46772
FortAwesome,Font-Awesome,HTML,43429
docker,docker,Go,43421
rails,rails,Ruby,43320
laravel,laravel,PHP,36504
rust-lang,rust,Rust,29168
Alamofire,Alamofire,Swift,27610
tonsky,FiraCode,Clojure,22298
aymericdamien,TensorFlow-Examples,Jupyter Notebook,21636
neovim,neovim,VimL,20893
shadowsocks,shadowsocks-windows,C#,20128
rs,SDWebImage,Objective-C,19750
apache,spark,Scala,17397
exacity,deeplearningbook-chinese,TeX,16868
jcjohnson,neural-style,Lua,16167
syl20bnr,spacemacs,Emacs Lisp,15439
elixir-lang,elixir,Elixir,13255
begriffs,postgrest,Haskell,10942
cmderdev,cmder,PowerShell,9438
erlang,otp,Erlang,7149
sitaramc,gitolite,Perl,6460
arielf,weight-loss,R,3290
