language,f0_
,40426
JavaScript,35483
Python,16769
Java,15177
PHP,8224
Objective-C,7762
Ruby,7270
C++,7004
C,6994
Go,5711
C#,4392
HTML,4342
Shell,4097
CSS,3897
Swift,3166
Scala,1468
CoffeeScript,1266
Clojure,1146
TypeScript,1128
VimL,1108
Rust,990
Lua,788
Haskell,757
Jupyter Notebook,733
Emacs Lisp,705
R,643
Perl,631
Elixir,523
Erlang,436
TeX,400
PowerShell,374
Groovy,336
Kotlin,310
Makefile,274
Vue,242
Matlab,220
OCaml,218
ActionScript,191
Julia,176
Common Lisp,175
Assembly,165
Arduino,153
F#,152
Pascal,134
Dart,116
Eagle,112
Haxe,112
Elm,106
D,91
CMake,81
Objective-C++,76
Scheme,72
Crystal,71
XSLT,70
Visual Basic,61
Batchfile,60
Puppet,60
Vala,58
PLpgSQL,57
Nginx,55
Groff,53
ApacheConf,53
KiCad,52
GLSL,50
Racket,47
AppleScript,47
QML,46
Processing,45
PureScript,43
AutoHotkey,42
Cuda,40
PostScript,39
HCL,37
Protocol Buffer,37
Verilog,36
FORTRAN,35
Apex,29
VHDL,28
Coq,26
Nimrod,26
Tcl,25
Smarty,25
Vim script,24
LiveScript,23
Nix,23
OpenSCAD,23
Standard ML,22
OpenEdge ABL,21
ColdFusion,21
Mathematica,20
Perl6,20
Prolog,17
AutoIt,16
PLSQL,16
SaltStack,15
Logos,15
ASP,14
Web Ontology Language,14
Awk,14
Idris,14
Hack,13
Max,13
SQLPL,13
Cucumber,13
GDScript,13
Handlebars,12
Smalltalk,11
SourcePawn,11
Agda,11
SQF,9
CartoCSS,9
GCC Machine Description,8
SQL,8
Smali,8
Bro,8
FreeMarker,8
XML,8
DIGITAL Command Language,7
ABAP,7
MoonScript,7
Ada,7
RAML,7
NSIS,7
Liquid,7
Game Maker Language,6
ANTLR,6
Hy,6
HaXe,6
BitBake,6
Gosu,6
AGS Script,6
Forth,6
Pure Data,6
Thrift,5
Nim,5
SystemVerilog,5
Frege,5
Mercury,5
PureBasic,5
ShaderLab,5
POV-Ray SDL,5
DM,5
Inno Setup,5
Nemerle,4
LLVM,4
M,4
Gnuplot,4
Brightscript,4
Brainfuck,4
SAS,4
IDL,4
Objective-J,4
Lex,4
Isabelle,4
SuperCollider,4
Slash,3
J,3
Yacc,3
COBOL,3
Shen,3
Lasso,3
VCL,3
M4,3
SRecode Template,3
XQuery,3
REALbasic,3
Arc,3
NewLisp,2
Ceylon,2
LilyPond,2
FLUX,2
Modelica,2
Factor,2
TLA,2
Inform 7,2
AspectJ,2
Roff,2
SMT,2
Ragel in Ruby Host,2
Pony,2
Limbo,2
nesC,2
ooc,2
GAP,2
Zephir,1
DCPU-16 ASM,1
WebAssembly,1
AMPL,1
Xtend,1
Fancy,1
Jasmin,1
Io,1
PigLatin,1
Dylan,1
Eiffel,1
Bluespec,1
LoomScript,1
Cycript,1
eC,1
Metal,1
Self,1
Cirru,1
PAWN,1
EmberScript,1
Stan,1
DTrace,1
DOT,1
Logtalk,1
MQL5,1
Propeller Spin,1
Chapel,1
HLSL,1
Genshi,1
Terra,1
APL,1
Delphi,1
Rebol,1
XProc,1
ChucK,1
Csound Document,1
Lean,1
Bison,1
xBase,1
ATS,1
Oz,1
wisp,1
Modula-2,1
Alloy,1
LOLCODE,1
Grammatical Framework,1
Red,1
API Blueprint,1
Augeas,1
Mako,1
Stata,1
Scilab,1
